method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
traditional,18.9143,38.3038,47.6731,0.395618,0.407535,0.430732,14514
attn_L1_r10_trad,7.6476,19.1991,25.8706,0.168665,0.192584,0.212653,14514
attn_L1_r10_weighted,7.6178,19.1562,25.7783,0.166873,0.191828,0.211738,14514
attn_L1_r20_trad,14.4507,30.7932,39.249,0.299538,0.320906,0.343803,14514
attn_L1_r20_weighted,14.134,30.4758,38.7915,0.292648,0.316765,0.339017,14514
attn_L1_r30_trad,16.392,33.9444,43.2621,0.339741,0.356867,0.381749,14514
attn_L1_r30_weighted,16.247,33.6429,42.6975,0.334884,0.353738,0.377529,14514
attn_L1_r40_trad,17.2582,35.5009,44.8724,0.360169,0.374683,0.399314,14514
attn_L1_r40_weighted,17.1487,35.1232,44.3262,0.354761,0.370898,0.394902,14514
attn_L1_r50_trad,17.7464,36.1526,45.7244,0.369988,0.383836,0.408682,14514
attn_L1_r50_weighted,17.5799,35.7824,45.2408,0.365027,0.379736,0.404415,14514
attn_L1_r60_trad,17.8339,36.7181,46.1921,0.371262,0.389185,0.413428,14514
attn_L1_r60_weighted,17.7396,36.4285,45.8742,0.369057,0.385766,0.410063,14514
attn_L1_r70_trad,18.1823,37.1279,46.6655,0.378393,0.394225,0.418794,14514
attn_L1_r70_weighted,18.0491,36.8359,46.3261,0.374673,0.390733,0.415118,14514
attn_L1_r80_trad,18.3968,37.5732,47.0216,0.384801,0.398865,0.422702,14514
attn_L1_r80_weighted,18.2414,37.2374,46.9143,0.379806,0.395084,0.419765,14514
attn_L1_r90_trad,18.6474,37.8788,47.3426,0.388142,0.402699,0.42641,14514
attn_L1_r90_weighted,18.476,37.5947,47.1462,0.383457,0.399126,0.423241,14514
attn_L2_r10_trad,8.0433,19.69,26.7128,0.178069,0.200812,0.221477,14514
attn_L2_r10_weighted,7.9596,19.6871,26.5264,0.177036,0.200322,0.220194,14514
attn_L2_r20_trad,15.698,32.9236,41.8891,0.329337,0.346643,0.37044,14514
attn_L2_r20_weighted,15.4864,32.6242,41.7026,0.324859,0.34384,0.367844,14514
attn_L2_r30_trad,17.7497,35.9856,45.2012,0.364786,0.380468,0.404587,14514
attn_L2_r30_weighted,17.6102,35.7502,44.9266,0.363304,0.379112,0.403038,14514
attn_L2_r40_trad,18.1548,36.7184,46.3721,0.374638,0.389964,0.415234,14514
attn_L2_r40_weighted,18.1396,36.641,46.2466,0.37612,0.389556,0.414967,14514
attn_L2_r50_trad,18.3655,37.1834,46.7368,0.382321,0.394877,0.419493,14514
attn_L2_r50_weighted,18.2561,37.1623,46.6814,0.379944,0.394636,0.41928,14514
attn_L2_r60_trad,18.2794,37.3965,46.7775,0.381218,0.396216,0.420178,14514
attn_L2_r60_weighted,18.3818,37.2991,46.9306,0.381804,0.39664,0.421702,14514
attn_L2_r70_trad,18.2843,37.6276,47.0676,0.382355,0.398321,0.422041,14514
attn_L2_r70_weighted,18.5391,37.5029,47.2239,0.385662,0.399473,0.424743,14514
attn_L2_r80_trad,18.4444,37.7807,47.2097,0.384698,0.400978,0.424607,14514
attn_L2_r80_weighted,18.6904,37.6106,47.3738,0.388659,0.401569,0.426956,14514
attn_L2_r90_trad,18.6932,37.9197,47.3916,0.389899,0.403524,0.427278,14514
attn_L2_r90_weighted,18.7402,37.7797,47.5689,0.390795,0.403467,0.428731,14514
attn_L4_r10_trad,8.7096,21.5651,28.9515,0.19116,0.219924,0.241329,14514
attn_L4_r10_weighted,8.6248,21.6303,29.0102,0.189197,0.219681,0.24115,14514
attn_L4_r20_trad,16.5191,34.2024,43.3776,0.344943,0.361428,0.385569,14514
attn_L4_r20_weighted,16.293,34.2233,43.2124,0.34322,0.361026,0.3841,14514
attn_L4_r30_trad,18.0617,36.4582,45.9052,0.374535,0.387393,0.411895,14514
attn_L4_r30_weighted,18.2557,36.8665,46.2462,0.381804,0.392626,0.416517,14514
attn_L4_r40_trad,18.5044,36.7431,46.1634,0.381632,0.392345,0.416334,14514
attn_L4_r40_weighted,18.6854,37.402,46.9169,0.387178,0.399397,0.42393,14514
attn_L4_r50_trad,18.5878,37.0173,46.5622,0.384939,0.395116,0.419275,14514
