method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
traditional,18.9143,38.3038,47.6731,0.395618,0.407535,0.430732,14514
hier_r10,15.9074,33.451,42.6497,0.332369,0.352534,0.376559,14514
hier_r20,17.6585,35.9763,44.9791,0.365406,0.380393,0.403298,14514
hier_r30,18.4795,37.0753,46.5403,0.382975,0.394467,0.418763,14514
hier_r40,18.6213,37.8977,47.3781,0.386144,0.401534,0.425782,14514
hier_r50,18.9792,38.274,47.8813,0.393517,0.407382,0.431413,14514
hier_r60,19.2171,38.4474,47.998,0.397513,0.410283,0.434285,14514
hier_r70,19.2174,38.5342,48.2466,0.397926,0.410655,0.435244,14514
hier_r80,19.1445,38.7219,48.3305,0.397203,0.411758,0.43583,14514
hier_r90,19.0499,38.714,48.2065,0.395756,0.410673,0.434444,14514
