method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
L4_normpre_r10_trad,11.3755,25.5798,33.1484,0.242146,0.264972,0.285216,14514
L4_normpre_r10_weighted,12.7712,27.8507,35.8024,0.270222,0.290284,0.311717,14514
L4_normpre_r20_trad,15.7693,32.7472,41.3199,0.327408,0.344988,0.366965,14514
L4_normpre_r20_weighted,17.1453,35.1361,44.1907,0.356621,0.372057,0.395174,14514
L4_normpre_r30_trad,17.2687,35.4536,44.4487,0.359412,0.374474,0.397649,14514
L4_normpre_r30_weighted,18.2707,36.981,46.4929,0.379289,0.393958,0.418331,14514
L4_normpre_r40_trad,17.9945,36.4039,45.5397,0.373364,0.386395,0.409522,14514
L4_normpre_r40_weighted,18.8804,37.6888,47.4378,0.390175,0.402441,0.427519,14514
L4_normpre_r50_trad,18.3481,36.5422,46.1705,0.378462,0.38915,0.414402,14514
L4_normpre_r50_weighted,19.013,38.0042,47.6799,0.392897,0.405493,0.429846,14514
L4_normpre_r60_trad,18.4442,36.9572,46.3228,0.382768,0.393284,0.41733,14514
L4_normpre_r60_weighted,19.0489,38.0594,47.6746,0.392793,0.406495,0.430548,14514
L4_normpre_r70_trad,18.5534,37.2007,46.546,0.384284,0.396349,0.419901,14514
L4_normpre_r70_weighted,19.0468,38.0914,47.7296,0.394137,0.406883,0.430957,14514
L4_normpre_r80_trad,18.5943,37.6126,46.8292,0.38673,0.400522,0.423036,14514
L4_normpre_r80_weighted,19.0548,38.1643,47.8246,0.394378,0.407633,0.431775,14514
L4_normpre_r90_trad,18.6905,37.8811,47.1882,0.387729,0.402882,0.426008,14514
L4_normpre_r90_weighted,19.1113,38.1622,47.8469,0.395652,0.408016,0.432227,14514
L4_normpost_r10_trad,10.4509,23.8517,31.2095,0.22306,0.246387,0.266157,14514
L4_normpost_r10_weighted,11.8047,25.9236,33.8036,0.250379,0.270623,0.291808,14514
L4_normpost_r20_trad,15.4815,32.2699,40.847,0.322309,0.339688,0.361915,14514
L4_normpost_r20_weighted,16.8879,34.6675,43.6503,0.350593,0.367101,0.389948,14514
L4_normpost_r30_trad,17.1976,35.3719,44.2542,0.357517,0.373272,0.396057,14514
L4_normpost_r30_weighted,18.2544,36.927,46.2224,0.378187,0.392994,0.416734,14514
L4_normpost_r40_trad,17.9753,36.3424,45.5081,0.372571,0.385702,0.408957,14514
L4_normpost_r40_weighted,18.8452,37.7018,47.4043,0.390072,0.402224,0.42705,14514
L4_normpost_r50_trad,18.3285,36.5089,46.1573,0.37829,0.388878,0.414172,14514
L4_normpost_r50_weighted,19.0026,37.9038,47.6592,0.39331,0.405015,0.429724,14514
L4_normpost_r60_trad,18.4279,36.9442,46.3184,0.382458,0.393105,0.417241,14514
L4_normpost_r60_weighted,19.0474,38.0351,47.6676,0.393482,0.406443,0.430511,14514
L4_normpost_r70_trad,18.5575,37.2055,46.5603,0.384181,0.396379,0.419956,14514
L4_normpost_r70_weighted,19.0292,38.0929,47.7103,0.393999,0.40674,0.43088,14514
L4_normpost_r80_trad,18.5943,37.6167,46.8289,0.38673,0.400537,0.423036,14514
L4_normpost_r80_weighted,19.0652,38.1577,47.8383,0.394378,0.407696,0.431832,14514
L4_normpost_r90_trad,18.6905,37.8808,47.1882,0.387729,0.402874,0.426008,14514
L4_normpost_r90_weighted,19.1041,38.1607,47.8435,0.395515,0.407965,0.432181,14514
L8_normpre_r10_trad,11.3364,25.6909,33.1798,0.239045,0.26544,0.285606,14514
L8_normpre_r10_weighted,12.6553,27.8378,35.7248,0.266122,0.289275,0.3107,14514
L8_normpre_r20_trad,15.7951,32.9847,41.8186,0.331335,0.348605,0.371301,14514
L8_normpre_r20_weighted,17.2048,35.2165,44.468,0.360032,0.374008,0.39753,14514
L8_normpre_r30_trad,17.6437,35.678,44.9109,0.367852,0.378757,0.402481,14514
L8_normpre_r30_weighted,18.4578,37.1835,46.8409,0.38456,0.396373,0.421314,14514
L8_normpre_r40_trad,18.2854,36.4583,45.824,0.379186,0.389652,0.413258,14514
L8_normpre_r40_weighted,18.9212,37.8939,47.5733,0.39207,0.404264,0.428851,14514
L8_normpre_r50_trad,18.44,36.8561,46.239,0.381115,0.392573,0.416564,14514
L8_normpre_r50_weighted,19.0382,38.1443,47.7269,0.395101,0.407146,0.431026,14514
L8_normpre_r60_trad,18.7352,37.125,46.5566,0.38642,0.396351,0.420438,14514
L8_normpre_r60_weighted,19.1665,38.2104,47.7832,0.396376,0.407928,0.431849,14514
L8_normpre_r70_trad,18.7499,37.4526,46.8383,0.38921,0.399633,0.423193,14514
L8_normpre_r70_weighted,19.2011,38.2163,47.9342,0.397857,0.408844,0.433012,14514
L8_normpre_r80_trad,18.8478,37.8066,47.2485,0.391587,0.403279,0.426816,14514
L8_normpre_r80_weighted,19.1321,38.1691,47.9713,0.396548,0.408327,0.432992,14514
L8_normpre_r90_trad,18.9357,37.9458,47.5157,0.393344,0.405187,0.4292,14514
L8_normpre_r90_weighted,19.1429,38.1649,47.9248,0.396376,0.408331,0.432856,14514
