method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
traditional,18.9143,38.3038,47.6731,0.395618,0.407535,0.430732,14514
rand_r10,11.4258,26.1535,33.9412,0.248588,0.269018,0.290208,14514
rand_r20,15.1115,32.0722,40.6509,0.317659,0.336179,0.358478,14514
rand_r30,16.5621,34.5689,43.6076,0.346355,0.363728,0.387292,14514
rand_r40,17.4941,35.7304,44.9002,0.36327,0.378425,0.401704,14514
rand_r50,17.8065,36.4795,45.8573,0.372434,0.387417,0.410866,14514
rand_r60,18.2143,37.1775,46.6408,0.379944,0.394353,0.41822,14514
rand_r70,18.5006,37.5113,46.8756,0.385662,0.398969,0.422389,14514
rand_r80,18.5889,37.8054,47.2326,0.387488,0.401455,0.425295,14514
rand_r90,18.785,38.0982,47.5234,0.392586,0.405116,0.428735,14514
